"","Site","Depth","Replicate.No.","abundance","Site.name","reef.type","year"
"1","BI",5,1,126,"Baresdhoo inside","inside","2021/22"
"2","BI",5,2,84,"Baresdhoo inside","inside","2021/22"
"3","BI",10,1,58,"Baresdhoo inside","inside","2021/22"
"4","BI",10,2,76,"Baresdhoo inside","inside","2021/22"
"5","FGO",10,1,186,"Fonagaadhoo outside","outside","2021/22"
"6","FGO",10,2,296,"Fonagaadhoo outside","outside","2021/22"
"7","FGO",15,1,79,"Fonagaadhoo outside","outside","2021/22"
"8","FGO",15,2,112,"Fonagaadhoo outside","outside","2021/22"
"9","FI",5,1,66,"Fonadhoo inside","inside","2021/22"
"10","FI",5,2,56,"Fonadhoo inside","inside","2021/22"
"11","FI",10,1,95,"Fonadhoo inside","inside","2021/22"
"12","FI",10,2,39,"Fonadhoo inside","inside","2021/22"
"13","FK",10,1,408,"Fushi kandu","channel","2021/22"
"14","FK",10,2,113,"Fushi kandu","channel","2021/22"
"15","FK",15,1,78,"Fushi kandu","channel","2021/22"
"16","FK",15,2,169,"Fushi kandu","channel","2021/22"
"17","FO",10,1,67,"Fonadhoo outside","outside","2021/22"
"18","FO",10,2,265,"Fonadhoo outside","outside","2021/22"
"19","FO",15,1,111,"Fonadhoo outside","outside","2021/22"
"20","FO",15,2,126,"Fonadhoo outside","outside","2021/22"
"21","GC",10,1,19,"Gaadhoo corner","channel","2021/22"
"22","GC",10,2,33,"Gaadhoo corner","channel","2021/22"
"23","GC",15,1,28,"Gaadhoo corner","channel","2021/22"
"24","GC",15,2,61,"Gaadhoo corner","channel","2021/22"
"25","GI",5,1,42,"Gaadhoo inside","inside","2021/22"
"26","GI",5,2,65,"Gaadhoo inside","inside","2021/22"
"27","GI",10,1,47,"Gaadhoo inside","inside","2021/22"
"28","GI",10,2,76,"Gaadhoo inside","inside","2021/22"
"29","GO",10,1,62,"Gaadhoo outside","outside","2021/22"
"30","GO",10,2,36,"Gaadhoo outside","outside","2021/22"
"31","GO",15,1,46,"Gaadhoo outside","outside","2021/22"
"32","GO",15,2,59,"Gaadhoo outside","outside","2021/22"
"33","HC",10,1,23,"Hithadhoo corner","channel","2021/22"
"34","HC",10,2,20,"Hithadhoo corner","channel","2021/22"
"35","HC",15,1,131,"Hithadhoo corner","channel","2021/22"
"36","HC",15,2,20,"Hithadhoo corner","channel","2021/22"
"37","HH",5,1,131,"Hassanhaa","thila","2021/22"
"38","HH",5,2,97,"Hassanhaa","thila","2021/22"
"39","HH",10,1,75,"Hassanhaa","thila","2021/22"
"40","HH",10,2,109,"Hassanhaa","thila","2021/22"
"41","HI",5,1,41,"Hithadhoo inside","inside","2021/22"
"42","HI",5,2,57,"Hithadhoo inside","inside","2021/22"
"43","HI",10,1,48,"Hithadhoo inside","inside","2021/22"
"44","HI",10,2,96,"Hithadhoo inside","inside","2021/22"
"45","HW",10,1,46,"Hithadhoo west","outside","2021/22"
"46","HW",10,2,55,"Hithadhoo west","outside","2021/22"
"47","HW",15,1,79,"Hithadhoo west","outside","2021/22"
"48","HW",15,2,53,"Hithadhoo west","outside","2021/22"
"49","IM",10,1,126,"Isdhoo muli","outside","2021/22"
"50","IM",10,2,172,"Isdhoo muli","outside","2021/22"
"51","IM",15,1,269,"Isdhoo muli","outside","2021/22"
"52","IM",15,2,140,"Isdhoo muli","outside","2021/22"
"53","KF",5,1,30,"Kuda falhu","thila","2021/22"
"54","KF",5,2,12,"Kuda falhu","thila","2021/22"
"55","KF",10,1,114,"Kuda falhu","thila","2021/22"
"56","KF",10,2,77,"Kuda falhu","thila","2021/22"
"57","KO",10,1,78,"Kurethi outside","outside","2021/22"
"58","KO",10,2,98,"Kurethi outside","outside","2021/22"
"59","KO",15,1,55,"Kurethi outside","outside","2021/22"
"60","KO",15,2,97,"Kurethi outside","outside","2021/22"
"61","LF",5,1,143,"Laamafaruhaa","thila","2021/22"
"62","LF",5,2,101,"Laamafaruhaa","thila","2021/22"
"63","LF",10,1,65,"Laamafaruhaa","thila","2021/22"
"64","LF",10,2,83,"Laamafaruhaa","thila","2021/22"
"65","MBI",5,1,96,"Maabaidhoo inside","inside","2021/22"
"66","MBI",5,2,52,"Maabaidhoo inside","inside","2021/22"
"67","MBI",10,1,60,"Maabaidhoo inside","inside","2021/22"
"68","MBI",10,2,47,"Maabaidhoo inside","inside","2021/22"
"69","MBO",10,1,129,"Maabaidhoo outside","outside","2021/22"
"70","MBO",10,2,138,"Maabaidhoo outside","outside","2021/22"
"71","MBO",15,1,86,"Maabaidhoo outside","outside","2021/22"
"72","MBO",15,2,83,"Maabaidhoo outside","outside","2021/22"
"73","MC",10,1,225,"Maavah corner","channel","2021/22"
"74","MC",10,2,114,"Maavah corner","channel","2021/22"
"75","MC",15,1,162,"Maavah corner","channel","2021/22"
"76","MC",15,2,83,"Maavah corner","channel","2021/22"
"77","MI",5,1,128,"Maavah inside","inside","2021/22"
"78","MI",5,2,75,"Maavah inside","inside","2021/22"
"79","MI",10,1,82,"Maavah inside","inside","2021/22"
"80","MI",10,2,79,"Maavah inside","inside","2021/22"
"81","MK",10,1,85,"Mundoo kandu","channel","2021/22"
"82","MK",10,2,107,"Mundoo kandu","channel","2021/22"
"83","MK",15,1,88,"Mundoo kandu","channel","2021/22"
"84","MK",15,2,126,"Mundoo kandu","channel","2021/22"
"85","MO",10,1,243,"Maavah outside","outside","2021/22"
"86","MO",10,2,41,"Maavah outside","outside","2021/22"
"87","MO",15,1,23,"Maavah outside","outside","2021/22"
"88","MO",15,2,320,"Maavah outside","outside","2021/22"
"89","OC",10,1,47,"Olhuveli corner","channel","2021/22"
"90","OC",10,2,40,"Olhuveli corner","channel","2021/22"
"91","OC",15,1,36,"Olhuveli corner","channel","2021/22"
"92","OC",15,2,54,"Olhuveli corner","channel","2021/22"
"93","OI",5,1,37,"Olhutholhu inside","inside","2021/22"
"94","OI",10,1,76,"Olhutholhu inside","inside","2021/22"
"95","OR",5,1,34,"Olhuveli reef","inside","2021/22"
"96","OR",5,2,80,"Olhuveli reef","inside","2021/22"
"97","OR",10,1,11,"Olhuveli reef","inside","2021/22"
"98","OR",10,2,47,"Olhuveli reef","inside","2021/22"
"99","PT",15,1,60,"Pink thila","thila","2021/22"
"100","PT",15,2,43,"Pink thila","thila","2021/22"
"101","RDH",10,1,176,"Rahdhashuhaa","thila","2021/22"
"102","RDH",10,2,121,"Rahdhashuhaa","thila","2021/22"
"103","RDH",15,1,226,"Rahdhashuhaa","thila","2021/22"
"104","RDH",15,2,96,"Rahdhashuhaa","thila","2021/22"
"105","RI",5,1,83,"Raha Inside","inside","2021/22"
"106","RI",5,2,55,"Raha Inside","inside","2021/22"
"107","RI",10,1,65,"Raha Inside","inside","2021/22"
"108","RI",10,2,60,"Raha Inside","inside","2021/22"
"109","VA",10,1,72,"Vadinolhu kandu","channel","2021/22"
"110","VA",10,2,43,"Vadinolhu kandu","channel","2021/22"
"111","VA",15,1,93,"Vadinolhu kandu","channel","2021/22"
"112","VA",15,2,73,"Vadinolhu kandu","channel","2021/22"
